Date,State,Event,Art_Form,Visitors,Tourism_Level,Revenue_INR,Local_Employment,Month,Year,Quarter,Region
2016-02-26,Haryana,Surajkund Mela,Handicrafts,8859,High,10515633,901,2,2016,Q1,North
2016-02-09,Arunachal Pradesh,Orange Festival,Folk Dance,9276,High,9405864,803,2,2016,Q1,North East
2016-02-25,Chandigarh,Rose Festival,Folk Dance,6568,High,8820824,629,2,2016,Q1,North
2016-02-08,Bihar,Rajgir Mahotsav,Traditional Music,5495,High,5835690,618,2,2016,Q1,East
2016-02-17,Chhattisgarh,Bastar Dussehra,Folk Dance,4391,High,7350534,490,2,2016,Q1,Central
2016-02-27,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,9892,High,14729188,933,2,2016,Q1,North
2016-11-09,Odisha,Konark Dance Festival,Classical Dance,7099,High,8050266,809,11,2016,Q4,East
2016-11-12,Nagaland,Hornbill Festival,Folk Dance,7104,High,7437888,673,11,2016,Q4,North East
2016-11-24,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,4804,High,5274792,497,11,2016,Q4,North East
2016-11-22,Rajasthan,Bundi Utsav,Traditional Music,5570,High,10917200,530,11,2016,Q4,West
2016-11-15,Gujarat,Kankaria Carnival,Folk Dance,9581,High,15732002,1058,11,2016,Q4,West
2016-11-26,Gujarat,International Kite Festival,Handicrafts,4502,High,7950532,406,11,2016,Q4,West
2016-11-27,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,8488,High,10236528,824,11,2016,Q4,Central
2016-11-10,Madhya Pradesh,Jal Mahotsav,Handicrafts,5484,High,9267960,445,11,2016,Q4,Central
2016-11-07,Haryana,Surajkund Mela,Handicrafts,4563,High,4996485,491,11,2016,Q4,North
2016-11-05,Arunachal Pradesh,Orange Festival,Folk Dance,5678,High,6643260,500,11,2016,Q4,North East
2016-11-13,Chandigarh,Rose Festival,Folk Dance,9279,High,17054802,849,11,2016,Q4,North
2016-11-22,Bihar,Rajgir Mahotsav,Traditional Music,9915,High,15635955,1040,11,2016,Q4,East
2016-11-25,Chhattisgarh,Bastar Dussehra,Folk Dance,7060,High,11613700,693,11,2016,Q4,Central
2016-11-12,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,7627,High,10212553,882,11,2016,Q4,North
2016-12-11,Odisha,Konark Dance Festival,Classical Dance,5663,High,8522815,480,12,2016,Q4,East
2016-12-25,Nagaland,Hornbill Festival,Folk Dance,7302,High,8682078,616,12,2016,Q4,North East
2016-12-25,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,5306,High,10383842,424,12,2016,Q4,North East
2016-12-13,Rajasthan,Bundi Utsav,Traditional Music,9864,High,12408912,791,12,2016,Q4,West
2016-12-08,Gujarat,Kankaria Carnival,Folk Dance,9530,High,15705440,947,12,2016,Q4,West
2016-12-01,Gujarat,International Kite Festival,Handicrafts,9353,High,15741099,839,12,2016,Q4,West
2016-12-27,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,7445,High,12440595,750,12,2016,Q4,Central
2016-12-09,Madhya Pradesh,Jal Mahotsav,Handicrafts,7763,High,8632456,641,12,2016,Q4,Central
2016-12-26,Haryana,Surajkund Mela,Handicrafts,8659,High,10970953,779,12,2016,Q4,North
2016-12-02,Arunachal Pradesh,Orange Festival,Folk Dance,5636,High,9152864,675,12,2016,Q4,North East
2016-12-27,Chandigarh,Rose Festival,Folk Dance,6160,High,6166160,616,12,2016,Q4,North
2016-12-22,Bihar,Rajgir Mahotsav,Traditional Music,4854,High,9688584,455,12,2016,Q4,East
2016-12-01,Chhattisgarh,Bastar Dussehra,Folk Dance,7474,High,12234938,641,12,2016,Q4,Central
2016-12-12,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,6777,High,11324367,692,12,2016,Q4,North
2017-01-23,Odisha,Konark Dance Festival,Classical Dance,8931,High,12842778,986,1,2017,Q1,East
2017-01-27,Nagaland,Hornbill Festival,Folk Dance,8496,High,15003936,952,1,2017,Q1,North East
2017-01-05,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,6931,High,11151979,730,1,2017,Q1,North East
2017-01-11,Rajasthan,Bundi Utsav,Traditional Music,7582,High,13276082,848,1,2017,Q1,West
2017-01-09,Gujarat,Kankaria Carnival,Folk Dance,5147,High,6104342,450,1,2017,Q1,West
2017-01-03,Gujarat,International Kite Festival,Handicrafts,4659,High,8213817,498,1,2017,Q1,West
2017-01-19,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,5369,High,10533978,603,1,2017,Q1,Central
2017-01-20,Madhya Pradesh,Jal Mahotsav,Handicrafts,6911,High,11817810,601,1,2017,Q1,Central
2017-01-01,Haryana,Surajkund Mela,Handicrafts,5959,High,9766801,600,1,2017,Q1,North
2017-01-08,Arunachal Pradesh,Orange Festival,Folk Dance,8736,High,15532608,818,1,2017,Q1,North East
2017-01-25,Chandigarh,Rose Festival,Folk Dance,9534,High,18963126,1028,1,2017,Q1,North
2017-01-07,Bihar,Rajgir Mahotsav,Traditional Music,9883,High,11296269,1113,1,2017,Q1,East
2017-01-25,Chhattisgarh,Bastar Dussehra,Folk Dance,7643,High,14368840,685,1,2017,Q1,Central
2017-01-16,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,7723,High,11213796,895,1,2017,Q1,North
2017-02-27,Odisha,Konark Dance Festival,Classical Dance,6056,High,7460992,569,2,2017,Q1,East
2017-02-16,Nagaland,Hornbill Festival,Folk Dance,6255,High,7068150,714,2,2017,Q1,North East
2017-02-22,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,7191,High,12023352,759,2,2017,Q1,North East
2017-02-11,Rajasthan,Bundi Utsav,Traditional Music,5648,High,11109616,629,2,2017,Q1,West
2017-02-08,Gujarat,Kankaria Carnival,Folk Dance,7923,High,9927519,636,2,2017,Q1,West
2017-02-25,Gujarat,International Kite Festival,Handicrafts,4098,High,4720896,328,2,2017,Q1,West
2017-02-14,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,8433,High,14378265,908,2,2017,Q1,Central
2017-02-16,Madhya Pradesh,Jal Mahotsav,Handicrafts,4956,High,8326080,431,2,2017,Q1,Central
2017-02-04,Haryana,Surajkund Mela,Handicrafts,8493,High,10837068,740,2,2017,Q1,North
2017-02-24,Arunachal Pradesh,Orange Festival,Folk Dance,9511,High,10785474,1035,2,2017,Q1,North East
2017-02-01,Chandigarh,Rose Festival,Folk Dance,6735,High,9826365,675,2,2017,Q1,North
2017-02-22,Bihar,Rajgir Mahotsav,Traditional Music,7446,High,7602366,668,2,2017,Q1,East
2017-02-06,Chhattisgarh,Bastar Dussehra,Folk Dance,7436,High,11615032,860,2,2017,Q1,Central
2017-02-27,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,4225,High,5391100,422,2,2017,Q1,North
2017-11-15,Odisha,Konark Dance Festival,Classical Dance,4959,High,7339320,435,11,2017,Q4,East
2017-11-16,Nagaland,Hornbill Festival,Folk Dance,8754,High,13262310,708,11,2017,Q4,North East
2017-11-17,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,4016,High,4702736,472,11,2017,Q4,North East
2017-11-14,Rajasthan,Bundi Utsav,Traditional Music,7444,High,11292548,705,11,2017,Q4,West
2017-11-09,Gujarat,Kankaria Carnival,Folk Dance,5060,High,6471740,471,11,2017,Q4,West
2017-11-14,Gujarat,International Kite Festival,Handicrafts,8276,High,13291256,981,11,2017,Q4,West
2017-11-01,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,5139,High,6115410,473,11,2017,Q4,Central
2017-11-23,Madhya Pradesh,Jal Mahotsav,Handicrafts,5184,High,6505920,515,11,2017,Q4,Central
2017-11-18,Haryana,Surajkund Mela,Handicrafts,5816,High,10084944,661,11,2017,Q4,North
2017-11-03,Arunachal Pradesh,Orange Festival,Folk Dance,5895,High,9933075,494,11,2017,Q4,North East
2017-11-15,Chandigarh,Rose Festival,Folk Dance,6901,High,11469462,590,11,2017,Q4,North
2017-11-27,Bihar,Rajgir Mahotsav,Traditional Music,6537,High,9053745,607,11,2017,Q4,East
2017-11-08,Chhattisgarh,Bastar Dussehra,Folk Dance,8341,High,9800675,851,11,2017,Q4,Central
2017-11-10,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,6806,High,10460822,765,11,2017,Q4,North
2017-12-25,Odisha,Konark Dance Festival,Classical Dance,6455,High,9837420,537,12,2017,Q4,East
2017-12-07,Nagaland,Hornbill Festival,Folk Dance,8131,High,13692604,713,12,2017,Q4,North East
2017-12-08,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,8495,High,14042235,982,12,2017,Q4,North East
2017-12-23,Rajasthan,Bundi Utsav,Traditional Music,5166,High,5636106,532,12,2017,Q4,West
2017-12-23,Gujarat,Kankaria Carnival,Folk Dance,5982,High,11084646,557,12,2017,Q4,West
2017-12-26,Gujarat,International Kite Festival,Handicrafts,4574,High,5438486,418,12,2017,Q4,West
2017-12-26,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,5715,High,9606915,645,12,2017,Q4,Central
2017-12-22,Madhya Pradesh,Jal Mahotsav,Handicrafts,6491,High,10463492,654,12,2017,Q4,Central
2017-12-21,Haryana,Surajkund Mela,Handicrafts,9691,High,15689729,1016,12,2017,Q4,North
2017-12-04,Arunachal Pradesh,Orange Festival,Folk Dance,8869,High,16638244,778,12,2017,Q4,North East
2017-12-15,Chandigarh,Rose Festival,Folk Dance,8364,High,11450316,841,12,2017,Q4,North
2017-12-19,Bihar,Rajgir Mahotsav,Traditional Music,8752,High,9793488,794,12,2017,Q4,East
2017-12-26,Chhattisgarh,Bastar Dussehra,Folk Dance,5369,High,9342060,469,12,2017,Q4,Central
2017-12-23,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,5150,High,7168800,553,12,2017,Q4,North
2018-01-01,Odisha,Konark Dance Festival,Classical Dance,5081,High,8297273,438,1,2018,Q1,East
2018-01-02,Nagaland,Hornbill Festival,Folk Dance,9215,High,15084955,771,1,2018,Q1,North East
2018-01-25,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,8583,High,10608588,782,1,2018,Q1,North East
2018-01-16,Rajasthan,Bundi Utsav,Traditional Music,9308,High,18597384,989,1,2018,Q1,West
2018-01-05,Gujarat,Kankaria Carnival,Folk Dance,6294,High,12348828,565,1,2018,Q1,West
2018-01-16,Gujarat,International Kite Festival,Handicrafts,7506,High,14981976,636,1,2018,Q1,West
2018-01-14,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,5243,High,5599524,439,1,2018,Q1,Central
2018-01-14,Madhya Pradesh,Jal Mahotsav,Handicrafts,9053,High,13144956,895,1,2018,Q1,Central
2018-01-26,Haryana,Surajkund Mela,Handicrafts,6479,High,8681860,641,1,2018,Q1,North
2018-01-01,Arunachal Pradesh,Orange Festival,Folk Dance,5757,High,7806492,552,1,2018,Q1,North East
2018-01-10,Chandigarh,Rose Festival,Folk Dance,9877,High,18134172,1140,1,2018,Q1,North
2018-01-20,Bihar,Rajgir Mahotsav,Traditional Music,7730,High,11138930,773,1,2018,Q1,East
2018-01-24,Chhattisgarh,Bastar Dussehra,Folk Dance,5348,High,8102220,559,1,2018,Q1,Central
2018-01-16,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,9878,High,12416646,800,1,2018,Q1,North
2018-02-27,Odisha,Konark Dance Festival,Classical Dance,4851,High,8067213,519,2,2018,Q1,East
2018-02-03,Nagaland,Hornbill Festival,Folk Dance,6427,High,9923288,631,2,2018,Q1,North East
2018-02-19,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,7498,High,12086776,787,2,2018,Q1,North East
2018-02-01,Rajasthan,Bundi Utsav,Traditional Music,9536,High,11128512,1108,2,2018,Q1,West
2018-02-12,Gujarat,Kankaria Carnival,Folk Dance,8380,High,11698480,742,2,2018,Q1,West
2018-02-14,Gujarat,International Kite Festival,Handicrafts,7969,High,9977188,667,2,2018,Q1,West
2018-02-03,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,6774,High,12518352,719,2,2018,Q1,Central
2018-02-26,Madhya Pradesh,Jal Mahotsav,Handicrafts,5625,High,7970625,508,2,2018,Q1,Central
2018-02-07,Haryana,Surajkund Mela,Handicrafts,7267,High,13262275,783,2,2018,Q1,North
2018-02-13,Arunachal Pradesh,Orange Festival,Folk Dance,7146,High,10090152,582,2,2018,Q1,North East
2018-02-25,Chandigarh,Rose Festival,Folk Dance,7348,High,12932480,748,2,2018,Q1,North
2018-02-05,Bihar,Rajgir Mahotsav,Traditional Music,6504,High,12481176,730,2,2018,Q1,East
2018-02-17,Chhattisgarh,Bastar Dussehra,Folk Dance,5122,High,7923734,485,2,2018,Q1,Central
2018-02-07,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,6143,High,10215809,704,2,2018,Q1,North
2018-11-05,Odisha,Konark Dance Festival,Classical Dance,7851,High,10740168,841,11,2018,Q4,East
2018-11-23,Nagaland,Hornbill Festival,Folk Dance,6914,High,12943008,657,11,2018,Q4,North East
2018-11-17,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,4595,High,8634005,439,11,2018,Q4,North East
2018-11-13,Rajasthan,Bundi Utsav,Traditional Music,4698,High,4782564,448,11,2018,Q4,West
2018-11-12,Gujarat,Kankaria Carnival,Folk Dance,8171,High,10328144,758,11,2018,Q4,West
2018-11-14,Gujarat,International Kite Festival,Handicrafts,6782,High,9379506,673,11,2018,Q4,West
2018-11-26,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,9486,High,10842498,929,11,2018,Q4,Central
2018-11-03,Madhya Pradesh,Jal Mahotsav,Handicrafts,8491,High,8694784,867,11,2018,Q4,Central
2018-11-21,Haryana,Surajkund Mela,Handicrafts,7636,High,8781400,849,11,2018,Q4,North
2018-11-07,Arunachal Pradesh,Orange Festival,Folk Dance,6156,High,10415952,614,11,2018,Q4,North East
2018-11-07,Chandigarh,Rose Festival,Folk Dance,7294,High,11911102,712,11,2018,Q4,North
2018-11-23,Bihar,Rajgir Mahotsav,Traditional Music,4732,High,5839288,512,11,2018,Q4,East
2018-11-15,Chhattisgarh,Bastar Dussehra,Folk Dance,4953,High,7384923,567,11,2018,Q4,Central
2018-11-06,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,5542,High,6500766,598,11,2018,Q4,North
2018-12-10,Odisha,Konark Dance Festival,Classical Dance,9512,High,18500840,1100,12,2018,Q4,East
2018-12-02,Nagaland,Hornbill Festival,Folk Dance,5540,High,5695120,462,12,2018,Q4,North East
2018-12-19,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,7719,High,11539905,884,12,2018,Q4,North East
2018-12-22,Rajasthan,Bundi Utsav,Traditional Music,4499,High,7450344,530,12,2018,Q4,West
2018-12-25,Gujarat,Kankaria Carnival,Folk Dance,5324,High,6021444,500,12,2018,Q4,West
2018-12-19,Gujarat,International Kite Festival,Handicrafts,6923,High,8176063,749,12,2018,Q4,West
2018-12-10,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,9977,High,15264810,842,12,2018,Q4,Central
2018-12-03,Madhya Pradesh,Jal Mahotsav,Handicrafts,8268,High,13658736,795,12,2018,Q4,Central
2018-12-26,Haryana,Surajkund Mela,Handicrafts,9779,High,14424025,1082,12,2018,Q4,North
2018-12-09,Arunachal Pradesh,Orange Festival,Folk Dance,5958,High,5958000,638,12,2018,Q4,North East
2018-12-25,Chandigarh,Rose Festival,Folk Dance,5214,High,7857498,476,12,2018,Q4,North
2018-12-24,Bihar,Rajgir Mahotsav,Traditional Music,4928,High,9525824,480,12,2018,Q4,East
2018-12-26,Chhattisgarh,Bastar Dussehra,Folk Dance,7627,High,12843868,906,12,2018,Q4,Central
2018-12-15,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,9268,High,10000172,937,12,2018,Q4,North
2019-01-11,Odisha,Konark Dance Festival,Classical Dance,6811,High,8363908,613,1,2019,Q1,East
2019-01-19,Nagaland,Hornbill Festival,Folk Dance,9651,High,13897440,974,1,2019,Q1,North East
2019-01-09,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,7376,High,11248400,676,1,2019,Q1,North East
2019-01-01,Rajasthan,Bundi Utsav,Traditional Music,5396,High,8444740,557,1,2019,Q1,West
2019-01-16,Gujarat,Kankaria Carnival,Folk Dance,4470,High,8725440,521,1,2019,Q1,West
2019-01-10,Gujarat,International Kite Festival,Handicrafts,6783,High,12094089,784,1,2019,Q1,West
2019-01-12,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,4667,High,6403124,425,1,2019,Q1,Central
2019-01-04,Madhya Pradesh,Jal Mahotsav,Handicrafts,8185,High,13480695,770,1,2019,Q1,Central
2019-01-18,Haryana,Surajkund Mela,Handicrafts,4539,High,7857009,428,1,2019,Q1,North
2019-01-04,Arunachal Pradesh,Orange Festival,Folk Dance,7775,High,14943550,839,1,2019,Q1,North East
2019-01-17,Chandigarh,Rose Festival,Folk Dance,9320,High,17968960,898,1,2019,Q1,North
2019-01-13,Bihar,Rajgir Mahotsav,Traditional Music,6779,High,11870029,586,1,2019,Q1,East
2019-01-14,Chhattisgarh,Bastar Dussehra,Folk Dance,7324,High,10173036,864,1,2019,Q1,Central
2019-01-05,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,5838,High,11208960,564,1,2019,Q1,North
2019-02-24,Odisha,Konark Dance Festival,Classical Dance,4797,High,5953077,489,2,2019,Q1,East
2019-02-05,Nagaland,Hornbill Festival,Folk Dance,5015,High,9027000,557,2,2019,Q1,North East
2019-02-18,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,4223,High,5228074,363,2,2019,Q1,North East
2019-02-21,Rajasthan,Bundi Utsav,Traditional Music,8158,High,9920128,969,2,2019,Q1,West
2019-02-27,Gujarat,Kankaria Carnival,Folk Dance,8784,High,12824640,725,2,2019,Q1,West
2019-02-09,Gujarat,International Kite Festival,Handicrafts,4510,High,6241840,363,2,2019,Q1,West
2019-02-23,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,8613,High,12704175,969,2,2019,Q1,Central
2019-02-05,Madhya Pradesh,Jal Mahotsav,Handicrafts,9989,High,17680530,1021,2,2019,Q1,Central
2019-02-05,Haryana,Surajkund Mela,Handicrafts,7636,High,12797936,842,2,2019,Q1,North
2019-02-19,Arunachal Pradesh,Orange Festival,Folk Dance,9264,High,10042176,908,2,2019,Q1,North East
2019-02-14,Chandigarh,Rose Festival,Folk Dance,6048,High,6350400,550,2,2019,Q1,North
2019-02-04,Bihar,Rajgir Mahotsav,Traditional Music,9565,High,13850120,1022,2,2019,Q1,East
2019-02-02,Chhattisgarh,Bastar Dussehra,Folk Dance,7419,High,8116386,627,2,2019,Q1,Central
2019-02-26,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,4249,High,7108577,420,2,2019,Q1,North
2019-11-03,Odisha,Konark Dance Festival,Classical Dance,7962,High,10390410,908,11,2019,Q4,East
2019-11-22,Nagaland,Hornbill Festival,Folk Dance,4235,High,5878180,353,11,2019,Q4,North East
2019-11-27,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,5848,High,8187200,499,11,2019,Q4,North East
2019-11-15,Rajasthan,Bundi Utsav,Traditional Music,7278,High,8937384,762,11,2019,Q4,West
2019-11-02,Gujarat,Kankaria Carnival,Folk Dance,6122,High,8778948,710,11,2019,Q4,West
2019-11-02,Gujarat,International Kite Festival,Handicrafts,5329,High,5845913,562,11,2019,Q4,West
2019-11-15,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,6482,High,9372972,706,11,2019,Q4,Central
2019-11-25,Madhya Pradesh,Jal Mahotsav,Handicrafts,8261,High,12226280,919,11,2019,Q4,Central
2019-11-23,Haryana,Surajkund Mela,Handicrafts,7177,High,11210474,774,11,2019,Q4,North
2019-11-04,Arunachal Pradesh,Orange Festival,Folk Dance,4137,High,4894071,470,11,2019,Q4,North East
2019-11-17,Chandigarh,Rose Festival,Folk Dance,7579,High,14028729,745,11,2019,Q4,North
2019-11-02,Bihar,Rajgir Mahotsav,Traditional Music,9569,High,11521076,845,11,2019,Q4,East
2019-11-11,Chhattisgarh,Bastar Dussehra,Folk Dance,7823,High,15411310,649,11,2019,Q4,Central
2019-11-25,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,7445,High,14227395,786,11,2019,Q4,North
2019-12-08,Odisha,Konark Dance Festival,Classical Dance,6947,High,11775165,670,12,2019,Q4,East
2019-12-03,Nagaland,Hornbill Festival,Folk Dance,4666,High,5095272,554,12,2019,Q4,North East
2019-12-26,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,7122,High,9985044,803,12,2019,Q4,North East
2019-12-18,Rajasthan,Bundi Utsav,Traditional Music,8699,High,14623019,757,12,2019,Q4,West
2019-12-21,Gujarat,Kankaria Carnival,Folk Dance,4523,High,6083435,523,12,2019,Q4,West
2019-12-17,Gujarat,International Kite Festival,Handicrafts,9197,High,15901613,989,12,2019,Q4,West
2019-12-09,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,6296,High,6585616,661,12,2019,Q4,Central
2019-12-15,Madhya Pradesh,Jal Mahotsav,Handicrafts,9175,High,12377075,791,12,2019,Q4,Central
2019-12-16,Haryana,Surajkund Mela,Handicrafts,7644,High,10212384,696,12,2019,Q4,North
2019-12-01,Arunachal Pradesh,Orange Festival,Folk Dance,6055,High,9833320,629,12,2019,Q4,North East
2019-12-20,Chandigarh,Rose Festival,Folk Dance,6766,High,8809332,641,12,2019,Q4,North
2019-12-22,Bihar,Rajgir Mahotsav,Traditional Music,4525,High,6665325,499,12,2019,Q4,East
2019-12-14,Chhattisgarh,Bastar Dussehra,Folk Dance,7287,High,10092495,800,12,2019,Q4,Central
2019-12-14,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,9431,High,17749142,1023,12,2019,Q4,North
2020-01-15,Odisha,Konark Dance Festival,Classical Dance,1018,Low,1780482,111,1,2020,Q1,East
2020-01-13,Nagaland,Hornbill Festival,Folk Dance,1397,Low,2102485,131,1,2020,Q1,North East
2020-01-19,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,1138,Low,1355358,103,1,2020,Q1,North East
2020-01-05,Rajasthan,Bundi Utsav,Traditional Music,127,Low,217551,13,1,2020,Q1,West
2020-01-17,Gujarat,Kankaria Carnival,Folk Dance,1354,Low,1469090,126,1,2020,Q1,West
2020-01-12,Gujarat,International Kite Festival,Handicrafts,636,Low,727584,59,1,2020,Q1,West
2020-01-25,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,166,Low,204512,16,1,2020,Q1,Central
2020-01-15,Madhya Pradesh,Jal Mahotsav,Handicrafts,327,Low,362970,35,1,2020,Q1,Central
2020-01-15,Haryana,Surajkund Mela,Handicrafts,1492,Low,2606524,126,1,2020,Q1,North
2020-01-09,Arunachal Pradesh,Orange Festival,Folk Dance,712,Low,1080104,82,1,2020,Q1,North East
2020-01-02,Chandigarh,Rose Festival,Folk Dance,414,Low,776664,38,1,2020,Q1,North
2020-01-25,Bihar,Rajgir Mahotsav,Traditional Music,1412,Low,2027632,118,1,2020,Q1,East
2020-01-06,Chhattisgarh,Bastar Dussehra,Folk Dance,723,Low,1095345,82,1,2020,Q1,Central
2020-01-24,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,922,Low,1047392,76,1,2020,Q1,North
2020-02-19,Odisha,Konark Dance Festival,Classical Dance,642,Low,667038,69,2,2020,Q1,East
2020-02-24,Nagaland,Hornbill Festival,Folk Dance,1346,Low,1352730,129,2,2020,Q1,North East
2020-02-11,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,103,Low,190138,11,2,2020,Q1,North East
2020-02-17,Rajasthan,Bundi Utsav,Traditional Music,603,Low,1204191,64,2,2020,Q1,West
2020-02-25,Gujarat,Kankaria Carnival,Folk Dance,293,Low,540878,29,2,2020,Q1,West
2020-02-26,Gujarat,International Kite Festival,Handicrafts,272,Low,353328,23,2,2020,Q1,West
2020-02-26,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,1241,Low,2277235,120,2,2020,Q1,Central
2020-02-01,Madhya Pradesh,Jal Mahotsav,Handicrafts,631,Low,701672,63,2,2020,Q1,Central
2020-02-01,Haryana,Surajkund Mela,Handicrafts,189,Low,312417,17,2,2020,Q1,North
2020-02-05,Arunachal Pradesh,Orange Festival,Folk Dance,238,Low,359380,23,2,2020,Q1,North East
2020-02-11,Chandigarh,Rose Festival,Folk Dance,358,Low,598576,33,2,2020,Q1,North
2020-02-24,Bihar,Rajgir Mahotsav,Traditional Music,109,Low,137340,8,2,2020,Q1,East
2020-02-12,Chhattisgarh,Bastar Dussehra,Folk Dance,997,Low,1008964,107,2,2020,Q1,Central
2020-02-20,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,420,Low,553560,45,2,2020,Q1,North
2020-11-17,Odisha,Konark Dance Festival,Classical Dance,876,Low,1725720,86,11,2020,Q4,East
2020-11-06,Nagaland,Hornbill Festival,Folk Dance,1218,Low,2211888,138,11,2020,Q4,North East
2020-11-12,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,433,Low,815772,47,11,2020,Q4,North East
2020-11-09,Rajasthan,Bundi Utsav,Traditional Music,687,Low,1369878,56,11,2020,Q4,West
2020-11-08,Gujarat,Kankaria Carnival,Folk Dance,1443,Low,2766231,118,11,2020,Q4,West
